Yazar,Tarih,Baslik,Sikayet,Kaynak
yes no yes,30.06.2022 23:48,IKEA Genel,"kargo ücreti mağazadan olursa ürün fiyatının %5 i iken, online mağazada neden %10 u dur. online alısverişin saçma oldugu bir mobilya mağazası.",Ekşi Sözlük
impresora,01.07.2022 13:03,IKEA Genel,online alışveriş yapılmaması gereken sitedir. 8 haziranda aldığımız bly kitaplıkların birçok parçasında çatlak ve kırık çıktı değişim süreci başlattık gelip aldılar ve iki haftadan fazladır kargoya verilmesini bekliyoruz. müşteri hizmetleri her defasında size ulaşacağız diyip herhangi bir dönüş yapmıyor üstelik belli tarihten sonra uzun bir süre evde yokuz bizi mağdur edeceksiniz notumuza rağmen. ürünü alırken güzel ama değişime gelince görünmez oluyorsunuz resmen ürünümüz uzay boşluğunda kayboldu müşteri hizmetleri standart cevaplardan öteye geçemiyor bu gidişle isveç'e yazıp ürünün ne durumda olduğunu öğreneceğiz. kesinlikle sizi mağdur etme potansiyeli yüksek bir alışveriş sitesi kamyon kiralayıp gidip ürünü mağazadan satın alın yoksa uzak durun.,Ekşi Sözlük
nanaskani53,03.07.2022 15:02,IKEA Genel,(bkz: cüzzi bir ücret karşılığında isveççe dersleri),Ekşi Sözlük
evolucja,04.07.2022 12:27,IKEA Genel,bu fiyatlar ile türkiye'de işleri çok zor. 3-5 sene içerisinde türkiye pazarından ayrılacaklarını düşünüyorum.,Ekşi Sözlük
cinali,11.07.2022 20:04,IKEA Genel,kasaları çok karmaşık ve dağınık. kasiyerler ürünleri arkaya doğru adeta attığı için kasadan geçen ve ödenmiş küçük ürünler sıklıkla unutuluyor.,Ekşi Sözlük
ekkolog,11.07.2022 20:20,IKEA Genel,içeride emanet dolabı olmadığı halde çanta ile almayan firma,Ekşi Sözlük
kayiptas,11.07.2022 20:22,IKEA Genel,eskisi kadar uygun değil. kitaplık almam hayal oldu.,Ekşi Sözlük
jean auguste dominique ingres,12.07.2022 15:35 ~ 15:36,IKEA Genel,stokunda menteşe olmayan mobilya mağazası. ama çalışanlar ilgili. dolabı şimdi alıp menteşesini sonra gelip alma seçenekleri ayarlayabiliyorlar sağolsunlar*. ama kokulu mum ve ipad altlığı bolca var. büyük bir zaman kaybı.,Ekşi Sözlük
uykularin dogusunda bir masal,15.07.2022 23:47,IKEA Genel,"online müşteri hizmetleri servisleriyle sınıfta kalan marka. şu an sitesinden kaldırılmış bir ürün * için stok gelip gelmeyeceğini soruyorsun, sitede olmayan ürünün kodunu istiyorlar, uğraşıp bulup gönderiyorsun, gelen cevap “ürünün stoklara tekrar girip girmeyeceğini bilmiyoruz”, müthişler, alkışlıyorum.",Ekşi Sözlük
barabas,16.07.2022 21:56,IKEA Genel,"yine zamlamışlar ürünlerini. etiketlere zamlı fiyatları geçmişler, ama zamlar 20'sinden itibaren geçerli olacak.

alacak bir şeyiniz varsa, 3 gününüz var.",Ekşi Sözlük
silindir,19.07.2022 12:19 ~ 01.08.2022 13:55,IKEA Genel,"yıllardır ürünlerini aldığım firma. bu yıl 30 bin liralık sipariş vermişim mesela. genel olarak da ürünler fiyatının hakkını veriyor diyebilirim.

ancak ilk defa bir yataklarını satın aldım. gladstad denen lanet model. allah’ım bir yatağın her yeri mi ses çıkarır? gıcırdıyor ama da kötüsü ahşap kısımlar çıtırdıyor. aldığım günden beri yatak odasında huzur bana haram oldu. ayrıca çekmeceleri dökülüyor yatağın. bir arada tutamıyorum. kendilerine konuyla ilgili mail gönderdim. bırakın kusurlu mallarını almayı bana dönüş dahi yapmadılar.

hani belki rahatsız olur da aramak isterlerse diye sipariş numaram: 511004221650536

(bkz: )

güncelleme: ikea’dan aradılar. durumla ilgili video gönderdim. ama artık gerçekten dayanamıyorum bu yatağın yarattığı sinir bozukluğuna. bu arada çıtırtı diye adlandırdığım seslerin de metal aksamlardan geldiğini farkettim.

güncelleme: yatağı iade almayı kabul ettiler. oley be. kurtuldum.",Ekşi Sözlük
burak5866,20.07.2022 03:22,IKEA Genel,üstteki arkadaşın entry keşke daha önce görseydim hazır aldığım siparişi iptal ettim. zamlardan etkilendik daha da aynı ürünleri alamam. iş bankası kredi kartının 15000 e 1500 tl puan kampanyasının gazıyla 15159 tl lik alışveriş yaptım. neredeyse evin tüm ihtiyaçlarını halledecektim çocuk odası ve mutfak mobilyaları almıştım. sonra eşimin aklına uyup siparişi iptal ettim. şu an çok pişman oldum. şimdi aynı sepet zamlardan sonra 16754 tl oluyor. 1595 tl artmış ayrıca. 1500 + 100 tl puanı da yaktık. su an aynılarını tekrar almak istesem 3195 tl toplam zararım olacak. daha da uzun süre alışveriş yapmayacağım site. yapmayacağım demeyelim bu fiyatlarla bu alım gücüyle yapamayacağım diyelim.,Ekşi Sözlük
dexterin lamel koleksiyonu,22.07.2022 00:47,IKEA Genel,"tok satıcı edasıyla satış yapan, türkiye için düzenli olarak her ürüne zam yapan, isim yapmış ürünleri haricinde de nerdeyse hiçbir ürünü f/p dengesini sağlayamayan markadır. ayrıca internet alışverişlerinde absürd derecede fahiş gönderim ücretleri var. alışveriş yapmayınız, yaptırmayınız bu mobilyacı tekellerinden.",Ekşi Sözlük
briony vieny,23.07.2022 12:37,IKEA Genel,"fiyatların bokunu çıkarmış mağaza. çekmece düzenleyiciye bu parayı vereceksem dolabıyla birlikte gelmeli. böyle saçma şey olamaz.
https://www.ikea.com.tr/…u-raf-ici-duzenleyici.aspx

benzer ürünün 1.200 tl gibi bir fiyatı olanı da vardı ama sonra kaybettim listede. deli misiniz olm? iki yıl önce 50 lira verip alsaydım keşke.",Ekşi Sözlük
chabalala,26.07.2022 19:34,IKEA Genel,30dk’dır müşteri temsilcisine bağlanmaya çalıştığım firma.,Ekşi Sözlük
isenbuga,29.07.2022 18:06,IKEA Genel,"yapabildikleri en iyi şey isveç köftesi olan firma.

en büyük başarıları berbat ötesi, kullanıcı düşmanı ürünlerini ustaca allayıp pullayıp dünyanın 4 yanındaki ulaşım ve dağıtım ağları sayesinde size satabilmeleridir. bunu da oluşturdukları koca bir balon olan modern tasarım yalanıyla başarıyorlar.",Ekşi Sözlük
barpoem,31.07.2022 20:46,IKEA Genel,"fiyatları hala makul seviyelerde olan mobilya üreticisi. çok yüksek diyen arkadaşların inegöl mobiliyum'u gezmelerini öneririm. ülke insanının -üst kalite ürün üreten firmaları tenzih ederek- fırsatçılığını görmek açısından iyi olabilir. zira ikea ile dahi mukayese edildiğinde korkunç bir fark ortaya çıkıyor.

ikea türkiye'nin esas sorunu fiyatlardan ziyade tedarik konusu. zira mağazalarında, özellikle görece yüksek fiyatlı ve büyük ürünlerin neredeyse hiç biri stokta bulunmuyor. geçen almak için niyetlendiğim söderhamn 6'lı köşe kanepe teşhirde var fakat stokta yok. başka bir şehirde de yok. komple yok. olmayan bir ürünü neden teşhire koyarsın ya da stoğa gireceği zamanı nasıl öngöremezsin anlamak mümkün değil. bu durum hemen hemen bütün büyük ölçekli ürünlerde böyle. sanırım tedarik planlamaları ile ilgili ciddi bir problem yaşıyorlar.

bir noktadan sonra yalnızca benzeri bir yapıya dönüşecekler bu gidişle. ya da ne bileyim ülke insanı bu amaçla kullanıyordu da firma madem öyle görece küçük parakende ürün satayım mı dedi bilemiyorum. gardrop almak istiyorum yok, kanepe zaten yok peki kitaplık alayım o da yok. komple yok.",Ekşi Sözlük
sabahmavisi,09.08.2022 13:58 ~ 25.08.2022 22:09,IKEA Genel,"isveç stockholm şubesinde aile kart üyelerine 1000 kronluk alışveriş yapmaları durumunda ücretsiz yemek verdiğini duyuran köfte satan mobilyacı.

edit: tüm isveç icin gecerli olup olmadığını bılmediğimden sadece sth. yazdım.",Ekşi Sözlük
oftahaya,15.08.2022 17:07,IKEA Genel,internet mağazasında olmayan ve ama sadece izmir mağazasında mevcut olan bir ürün var: istanbul'a gönderebiliyor musunuz diyorum yardımcı olmuyorlar. izmir'de olan ve ürünü mağazadan sipariş verebilecek olan arkadaşlara mesaj kutum açıktır.,Ekşi Sözlük
silindir,19.08.2022 12:51,IKEA Genel,"bunların destek ekibi gerçekten komedi. abi 15 gündür mail ve telefon yoluyla beni aramalarını söylüyorum. her seferinde destek talebi oluşturuyorlar. nasıl olabiliyor ki destek talebi oluşturulmasına rağmen kimsenin aramaması. durun sizi ikea türkiye merkeze ve global’e şikayet edeyim de görün.

sipariş no: 511004221650536",Ekşi Sözlük
archaeodontosaurus,23.08.2022 20:51,IKEA Genel,yarın %10 zam gelecek olan firma,Ekşi Sözlük
no christ requires,25.08.2022 22:00,IKEA Genel,"sonuncusu dün olmak üzere bu hafta içinde bir sürü sipariş verdim, az önce bir baktım zamları kazık gibi geçirmişler.

bu hafta içinde sipariş verdiğim fiyat ve yeni fiyatlar:

jarvfjallet ofis koltuğu: 3899 - 4399
saljan masa tablası: 1049 - 1179
signum masa altı kablo düzenleyici: 59,99 - 64.99
fiskbo çerçeve 30x40/50x70: 54.99/129 - 59.99/149
alex keson: 1200 - 1350 *
duvar rafı: 199 - 219
kırlent kılıfı: 84.99 - 99
kolçak tepsisi: 159 - 179

herkese geçmiş olsun

(bkz: )",Ekşi Sözlük
pang pang,25.08.2022 22:08,IKEA Genel,"nerdeyse bir ayda ilki %15 ikincisi %20 iki kez zam yapıldı, yeter al canımızı ya, yılbaşından beri ürünlerin fiyatı iki katından fazla arttı, aldığım ürünleri kıyaslıyorum nerdeyse %150 zam var",Ekşi Sözlük
your dirty words,25.08.2022 22:52,IKEA Genel,reklamındaki yapmacıklık ve kırolukla beni benden alan mobilya şeyi.,Ekşi Sözlük
ingredient,25.08.2022 22:53,IKEA Genel,ürünlerinin bazılarının şahsen şu anlamı taşıdığı isveç menşeili mağaza.,Ekşi Sözlük
odhner,26.08.2022 15:00 ~ 31.08.2024 14:26,IKEA Genel,"bu firma yerelleşme adına hiç bir şey yapmıyor. öyle bir yükseklik kompleksleri var. hadi ürünlerde sadece isveççe isimler kullanmalarını geçtik, yerel standartlara da aldırmıyorlar. alıcılar bu konuya dikkat etmeli. basit bir örnek: yastık kılıfı alacaksınız. malzemeye, fiyata, renge, desene baktınız. yetmez. ülkemizde standart yastık ölçüsü 50 x 70 cm. dir. bunlarda 50 x 60 cm. yastığınız oradan alınan kılıfa sığmaz. hani isveç'ten geliyor, ne yapsınlar diyebilirsiniz ama hayır. türkiye'de ürettirilmiş. bu ne inattır. reyonda yazmışlar ölçüleri ama elinizi vicdanınıza koyup söyleyin. kaç kişi ölçüleri kontrol eder ?",Ekşi Sözlük
serginal,27.08.2022 15:47,IKEA Genel,"300 metrekareye sığdıramadığım eşyayı, minik konsept evlerin içine her türlü boşluğu özenle kullanarak sığdırıyorlar ya; belli ki tasarımcılarından öğrenecek çok şeyimiz var.",Ekşi Sözlük
spotlight,27.08.2022 19:35,IKEA Genel,"son reklam filmleri çok kötü, hiçbir şey anlatmayan zorlama bir müzikal rezalet",Ekşi Sözlük
yedinci element,27.08.2022 19:51 ~ 19:53,IKEA Genel,"son reklam

(bkz: #141878799)

çünkü biz avrupalı değiliz.

avrupalı bir firmanın avrupalı hedef kitleye böyle bir reklam çekmesi normal aslında.

ama bizim için biraz zorlama olmuş. bizim için bir şey ifade etmiyor bu parçalar. ayrıca sonda diğğ mi diyen kız aşırı yumruklanası.

bu arada ilk izleyişten sonra tüm melodilerin kaynağını söyleyebilenlere direkt sonsuz schengen verilmeli.",Ekşi Sözlük
spotlight,28.08.2022 19:33,IKEA Genel,"(bkz: #141879329)

bu global veya avrupaya oynayan bı reklam filmi değil, ajans yerel ama hangi ajans çekti onu bilmiyorum.

yani amaçları zaten prestij reklam filmi çekmekmiş bence, hem imkanları göstermek hem de kolaylığı ve rahatlığı,
bunu milyonlarca kez yaptılar zaten.
yemek ye takıl kafası.

ama bu gerçekten olmamış evet bize uymamış ve modası geçmiş pop kültüre oynamışlar gençler için tabii ki ve çok itici sinir bozucu olmuş her anıyla.

mesela “püff noktası” adlı önceki reklam kampanyaları başarılıydı amaca net hizmet eden bi işti, aynı ajanstan mı çıktı emin değilim",Ekşi Sözlük
odhner,30.08.2022 00:45,IKEA Genel,"ükemizde en çok sattıkları ürün olan meşhur isveç köftelerinin tanıtımında içerik olarak köfte, patates,haşlanmış sebze, sos ve lingon reçeli yazıyor. her yerde böyle yazıyor. köfte verdikleri tezgahın üstünde bile. mağazın her tarafındaki resimlerde bile bu içerik net olarak gözüküyor ve yazılı.

ama reçel konmuyor. o reçelden isterseniz, alt kattaki markette var.

ayıptır !",Ekşi Sözlük
patatestik domates olduk,30.08.2022 09:25,IKEA Genel,"iyi fiyata çeşitli tasarımlarda mobilya ve ev eşyası bulunabilecek bir mağaza zinciri. her şey iyi güzel de, geçen bir televizyon sehpası kurdum, iki buçuk saat sürmüş.",Ekşi Sözlük
boyle koyarlar,30.08.2022 14:40,IKEA Genel,"son reklamında eskiden ""isveç köfte"" derken değiştirip artık ""ikea köfte"" demeye başlamışlar, sebebi neydi ki?",Ekşi Sözlük
siteyoneticisi,30.08.2022 14:43,IKEA Genel,yiyenin kendisine saygısının olmadığını düşündüğüm köfteler satan mağaza zinciri.,Ekşi Sözlük
ben cocukken de cooldum,30.08.2022 15:20,IKEA Genel,son reklamları iğrenç olmuş.,Ekşi Sözlük
kikirdayan gergedan,30.08.2022 21:20,IKEA Genel,"büyük mobilya markalarını gezerken artık tasarımlarına bakarken kusma noktasına geldik. gereksiz işlemeler, düğmeler, altın ve parlak detaylar. modern bir tasarım bulamıyorsunuz. gezmediğimiz mobilya dükkanı kalmamıştı. hepsi modernlikten uzak, gösteriş meraklısı modeller, gereksiz detaylar. minimal modemr birşey arıyorsunuz ama bulamıyorsunuz. bakın kayınpeder 30 yıllık mobilyacı ve hala düzgün bir koltuk takımı bulamadık.

geçtiğimiz haftasonu ikea'ya gittik. amacımız söderhamn modelini almaktı. modeli gördük beğendik ama ben koltuğa pek güvenemedim. sonra kıvık modelinde karar kıldık. arkadaşlar fotoğraflara bakmayıp ikea'ya gidin. cidden ürünler fotoğraflardan daha güzel gözüküyor. kivik üçlü, ikili, uzanması + stockholm 2017 rattan berjer + billy 80+80+40cm olan kitaplıkları + idanas tv ünitesi + onlarca ıvır zıvır (rattan saksı, resim çercevesi, mutfak eşyası, dekorasyon eşyaları vs) 34 bin tl'ye aldık.

şimdi başlıkta millet dayanıksız falan yazmışta. benim bir çok arkadaşım ikea ürünlerini kullanıyor. ikeanın tek dezavantajı sürekli taşınan bir bireyseniz size uymayabilir. ürünler sürekli sök taka gelmeyebiliyor. bunun dışında mobilyalarınızı hayvan gibi hor kullanmıyorsanız yıllarca size dayanacak kalitede ürünler bulabilirsiniz. bu başlıktakileri okuduktan sonra bizimde şüphelerimiz vardı ama diğer mobilya firmalarında yaşanan sorunları gördükten sonra ikea'ya şükrediyorsunuz. umuyorum yerli firmalarımızda iskandinav veya japandi tarzında ürünler çıkarmaya başlarlar. artık gençler o süslü chester koltuk takımlarınızı görünce kusuyorlar. lütfen biraz modern sade ürünler çıkartmaya çalışın.",Ekşi Sözlük
kaymakamcik,30.08.2022 21:48,IKEA Genel,"bok gibi reklam.

aptal saptal reklam ajanslarının aklına uyan sizin gibi global markaların itibarını sıfırlamasına acımıyorum maalesef.",Ekşi Sözlük
huzunbaz palyaco,31.08.2022 10:30,IKEA Genel,hiç olmasaydı da olurdu diyebileceğimiz cinsten bir reklama imza atmış mobilya perakendecisi...,Ekşi Sözlük
onubiayarlicam,31.08.2022 10:35,IKEA Genel,"abd filmlerinde genellikle laf arasında fena ezilen ev malzemeleri firması.

demek ki baya adi.",Ekşi Sözlük
3com,31.08.2022 10:38,IKEA Genel,kaliteli mallar ile kalitesizleri bir arada satma stratejisi olduğuna inandığım ev mağazası. bazı ürünleri fiyatına bakınca çok üst kalitede iken bazıları da çöp ayarındadır. bunu bilip ayıracak farkındalığa ulaşanlar için çok güzel fırsatlar barındırır.,Ekşi Sözlük
futurismine,31.08.2022 14:07,IKEA Genel,ilk reklamda isveç köfte diyordu şimdi ikea köfte yapmışlar orayı. ağızlarına dikkat edin anlarsınız. evet iddiam bu kadardı.,Ekşi Sözlük
tunalizade,31.08.2022 22:06,IKEA Genel,"son reklamında ""isveç köfte""yi neden ""ikea köfte"" olarak değiştirdiklerini merak ettiğim marka.",Ekşi Sözlük
koolhoven,02.09.2022 22:54,IKEA Genel,an itibariyle türk televizyonlarının en sıkıcı ve itici reklamına sahip kuruluştur.,Ekşi Sözlük
bjork,03.09.2022 17:02,IKEA Genel,"stokları bitik durumda bir mobilya mağazası. bir şeyin bir parçası bir yerde, bir diğeri başka yerde. asla her şeyi tek bir yerden toplamak mümkün değil. hatta çoğu parça için hiç mümkün değil çünkü hiç yok...garip bir durum.",Ekşi Sözlük
teletabilerden telat abi,03.09.2022 17:32,IKEA Genel,"ikea, hollanda merkezli montaja hazır mobilya ve ev aletleri satan dünya çapında hizmet veren bir şirkettir. isveçli iş adamı feodor ingvar kamprad 1943 yılında ikea şirketini kurdu. şirketin ismi kısaltması adı ve soyadının baş harfleri (ı.k.) ile büyüdüğü köy ve çiftlik adlarının baş harflerinden oluşur (elmtaryd (e) ve agunnaryd (a). genel merkezi hollanda'nın delft şehrinde bulunuyor.",Ekşi Sözlük
sessizaa,03.09.2022 17:33,IKEA Genel,"ne çok oldu gitmeyeli, gideyim de biraz mutluluktan çıldırıp hayaller kurayım. çılgınlar gibi dolaşmak istiyorum ve ""ay bu çok güzel, bu da güzell, yaa buu harikaaa amaa"" gibi saniyede milyon tane cümle kurabiliyorum. bu sefer hangi şanslı arkadaşım buna maruz kalacak bakalım *",Ekşi Sözlük
koalisyon kuvvetleri,04.09.2022 13:35,IKEA Genel,"neye baksam stogu yok, turkiyede kuculmeye mi gidiyor ya da gecici bir tedarik sorunu mu var bilen var mi?

ayni urunlerin stogu yurtdisi ikealarda devam ediyor.",Ekşi Sözlük
karanlik taraf emekcisi,04.09.2022 15:01,IKEA Genel,"stok konusunda problem yaşadıkları iddiası doğru olabilir. en azından sistemsel bir karmaşa yaşadıkları belli.

örnek olarak geçenlerde poang koltuk almak için bir şubelerine gittim. bir çeşidini beğendik. ancak koltuğun minderi sistemde var gözükmesine rağmen gerçekte ortada yoktu. mecburen başka bir çeşit aldık.

yorumlara bakılırsa bu durum öyle birkaç vakadan da ibaret değil. pek çok kişi benzer şeyler yazmış.

yetkilileri konu hakkında ne düşünüyorlar bilmiyorum fakat bu durum uzun vadede müşteri kaybettirir.",Ekşi Sözlük
clive,05.09.2022 00:49,IKEA Genel,"çok kötü bir son dönem reklamı olan mobilyacı.

müzik müzik değil, tema tema değil.

bir de bitmedi bu mükemmel aile, genç/lik ve birey konsepti.

arkadaş modacılar dahi mükemmel insanı aramaktan vazgeçtiler bu reklamcılar mükemmel aile / paradise family -tam çeviri değil farkındayım- konseptinden vazgeçmediler.

benzer kötü reklam da müge boz'un -neden ünlü olduğunu da anlamadım bir türlü- oynadığı tatil reklamı. mükemmel ailemiz var, her şeyimiz mükemmel. ay bayılıyor insan...",Ekşi Sözlük
oguzh4n3,05.09.2022 21:44,IKEA Genel,"90 gün değişim garantisinden dolayı buradan yatak almak istiyorum fakat şöyle saçma bir politikası var, almak istediğim model en pahalı model(160x200 vatneström) 13k civarı, bunu aldım diyelim, 20 gün kullandım memnun kalmadım alt modele geçersem farkı iade etmiyorlar, çek olarak veriyorlar, 8klık bir yatak alırsam bana 5k çek veriyorlarmış ikea da harcamak için, iyide benim başka bir şeye ihtiyacım yok ki neden çeki kabul edeyiö, benim ihtiyacım olana kadar ikea da ürünler x3 olacak benim çek yine bana girecek

üstelik yataklarının kalitesinden de emin değilim ama tr firmalarının çakallağı ile uğraşmak istemediğim için ikeayı seçmiştim, onlar da çakal olmuş.",Ekşi Sözlük
bjork,06.09.2022 18:04,IKEA Genel,"bence bu arkadaşlar türkiye pazarından çıkmayı düşünüyorlar. eriyen stoklar ve yerine yenisini koymamaları. bir çok temel ürün, yani en çok sattıklarından emin olduğum bir sürü parça, asla hiç bir mağazada yok. bence eritip gidicekler...",Ekşi Sözlük
bursavenusu,06.09.2022 18:58,IKEA Genel,"mutfaklarına verdikleri 10 yıllık garantiye güvenerek 9. yılda yaptığım tasarım ve malzeme kaynaklı oluşan kullanıma engel aşınmaları maalesef kullanıcı hatası diyerek kestirip atıyorlar. 10 yıl garantisine kanmayın derim. (bu aşınmalar ikinci yılında başlamış olup, sıfır yapılan mutfakta tekrar inşaatla uğramamak için geç başvuru yaptım.)",Ekşi Sözlük
witchdash,07.09.2022 09:20,IKEA Genel,"120 liraya satılan yuvarlak bir kablosuz şarj aletleri var, piyasadaki en iyi bardak altlığı olabilir.",Ekşi Sözlük
anna roost,08.09.2022 13:45,IKEA Genel,2022 itibariyle 32-36 gün periyodunda düzenli biçimde %15-17 oranında tüm ürünlerine zam uygulamayı alışkanlık edinmiş olan isveç bi milyoncusu.,Ekşi Sözlük
hasss,11.09.2022 23:55,IKEA Genel,"mağalarındaki iade/değişim birimleri yavaş çalışıyor veya çalıştırılıyor. bugünkü deneyimime göre bu bölümün çalışanlarının bazıları disiplinsiz ve başına buyruk. etrafta bir sürü boş dolaşan eleman var ama pazar günü en yoğun saatinde bir buçuk banko çalışıyor. önümdekilerin işi 15-20 dakikadan az sürmedi, benim işim üç dakikayı geçmedi. bir tanesi ben geldiğimde oradaydı, elemanla sohpet muhabbet gırla. görüyorum kağıdı imzalatmışsın, ürünü teslim etmişşin, iş bitmiş sohpet muhabbet devam. avm'de bir sürü kafe var, madem çok sevdiniz birbirinizi telefonlaşın, oralarda görüşün. işyeri değil lise kantini.",Ekşi Sözlük
tabi bu benim nacizane fikrim,13.09.2022 09:55 ~ 29.09.2022 16:42,IKEA Genel,"haklarında rezalet başlığı açmamak için kendimi zor tuttuğum mağazalar zinciri.

ben yandım siz yanmayın diye belirtmek istiyorum, eğer alışverişinizde dayanılmayacak kadar büyük bir sorun yoksa değişim talebinde bulunmayın. bir dünya para verdim, kusursuz ürün istiyorum dediğinizi duyar gibiyim. demeyin efendim. biraz kusurlu da olsa gözünüz alışır. eğer benim gibi paranızın karşılığını almak, bedelini ödemiş olduğunuz hizmeti eksiksiz olarak almak gibi hayalleriniz varsa onları unutun. bakın ikea'dan alışveriş yapmış olabilirsiniz, ama burası türkiye. burada insana kıymet verilmez, burada kurumların doğru çalışması için yeterli yaptırım yoktur.

ikea genel merkeze şikayet ederseniz sorununuz çözümlenir diye düşünürseniz eğer, ona da cevap vermiş olayım. çözülmez. yaşadığınız deneyim için üzgünüz, ancak ikea türkiye'den destek almanız gerekiyor şeklinde dönüş alırsınız.

başıma gelen şey şu; kırık gelen hemnes model ayakkabılığımın kapağını iade ettiğim kargo firması kaybetti, ben şu anda sadece iskeleti olan bir ayakkabılıkla yaşıyorum. hiçbir şekilde müşteri hizmetlerinden destek alamadığımı söylememe gerek yok herhalde. keşke kırık, çizik diye bakmadan kullanmaya devam etseydim, en azından bütünlüğü korunmuş bir mobilyam olurdu.

alısveriş yapmayın demem, diyemem çünkü ikameleri yok. siz değişim yapmayın, hakkınızı aramayın. siniriniz bozulduğuyla kalırsınız. müşteri memnuniyetini zerre umursamayan mobilyacı.

edit: 40 gün kadar süren aşırıya kaçan tacizlerim ve tweetlerim sonucunda, çözüm odaklı mantıklı makul tek kişi olarak kartal mağaza yetkilisi melih bey sorunumu çözdü. eğer kusurlu bir ürün yolladılarsa o kusurla yaşamayı tercih etmenizi öneririm.",Ekşi Sözlük
nekrop pasa,15.09.2022 17:04,IKEA Genel,"(bkz: #138054393)

edit:

aylar ayları kovaladı. parasını ödediğim halde (demontaj, paketleme ve nakliye) bu 3 hizmetten sadece demontajı zamanında verip kitaplığımızı söktüler. söktükleri tarih mayıs sonu -haziran başı gibiydi. o demontajı yapılmış ürünü, parasını da verdiğim halde sözde gelip paketleyip sonra da nakliyesini yapacak olan borusan lojistik hiç bir zaman gelmedi. ikea'ya sayısız başvuru, şikayet, talep vs. açtık. evimizde ağustos sonuna kadar bu demonte olmuş kitaplıkla oturduk.

sonra zar zor, rica minnet ve yalvarmayla bir firma gönderdiler. alakasız bir firmaydı ve paketleme yapmayacağını söyledi ve paketleme olmazsa da ürünü almayacağını belirtti. gittik tekrar kendimiz paketlemek üzere koli bantları, taşıma ve koruyucu paketleme enstrümanlarını aldık. sonuçta gelen adam götürmemek için diretti zira kutunun içinde ve ayrı ayrı paketlenmesi gerektiğini belirtti ama parasını ödediğimiz halde bu hizmeti bize vermeyen ikea'ydı. neticede zar zor iade işlemini tamamladık.

peki şu anda ne oldu? 1 aydan fazla zaman geçti ve biz hala geri ödeme işleminin tamamlanmasını bekliyoruz. toplamda 8 ay gibi bir süre geçti.

söyleyeceklerim bu kadar!",Ekşi Sözlük
koraks,16.09.2022 12:40,IKEA Genel,"herkes gibi ben de bir ikea evi kurma içgüdüsünün kölesi olmuştum. yin-yang şeklinde kahve sehpası gibi güzel bir şey gördüysem, o benim olmalıydı. mesela o strinne yeşili çizgileri olan johanneshov koltuk... ya da ağartılmamış, çevre dostu kâğıttan rislampa abajurları. hatta klipsk raf ünitesi üstünde duran, galvanizli vild duvar saati. kataloglara göz gezdirip düşünüyordum, ""kişiliğimi hangi yemek takımı yansıtır acaba?"" eskiden porno okurduk. ama artık horchow koleksiyonu vardı... hayatımı seviyordum. apartman dairemi seviyordum. mobilyaların hepsini tek tek seviyordum. bütün hayatım bundan ibaretti. lambalar, iskemleler, kilimler — hepsi bendim. tabaklar bendim. bitkiler bendim. televizyon bendim.

dövüş kulübü'nde jack'in ağzından böyle dökülür kelimeler.",Ekşi Sözlük
silencio club,18.09.2022 21:21,IKEA Genel,"eğer satın aldığınız paketi sapasağlam ürün açıldıktan sonra defolu çıkarsa anında devlet dairesine dönüşen alaturka firma

o ona paslıyo, öbürü arıycaklar diyo, arayan biz onu halledemeyiz yalnız en iyisi ben öbürküne mail atiyim diyo, herkes bi masal anlatıyo

müşteri memnuniyeti ve ürün garantisi masko-modoko bile diil taaa inegöl sanayi seviyesinde

harcadığım paraya yazık",Ekşi Sözlük
brute,21.09.2022 15:41 ~ 15:44,IKEA Genel,"covid’deki tedarik sorunlarını hala aşamadığını düşündüğüm şirket.

bir mutfak tasarlattım buradan ancak basit parçalar bile stokta yok ve de stoğa geç geliyor. bir de parçayı satın almanız için gereken süreyi oldukça kısa tutuyorlar. işi gücü bırakıp yardır yardır mağazaya gitmek gerekiyor.

ayrıca montaj süreleri de 1 ay. bunun kısalması lazım.

her şeye rağmen profesyonel bir şirket. dışarıda oldukça fazla sayıda yalancı esnaf ve usta varken şaşmam kendilerinden ancak gelişim de şart.",Ekşi Sözlük
mrctrk,26.09.2022 10:08 ~ 22:41,IKEA Genel,"masif ürünlerine diyecek bir şey yok ancak bir çok üründe mdf yerine sunta kullanılıyor ve bunuda çevreye duyarlılık , tüm kereste parçalarını kullanım olarak lanse ediyorlar.

evet tamam çevreye duyarlısınız da mdf plakalarda yine hurda kereste ve talaşlardan yapılabiliyor. mdf varken maliyeti ucuz sunta kullanmaları kalite konusunda gerçekten dikkat çekici ürün satın alırken bu noktaya dikkat etmek, uzun ömürlü kullanım, ve tekrar demontaj ve montaj açısından çok önemli.

benim için bazı ikea ürünleri demek ;

ucuz malzemeli ürünlerin, iyi tasarım, kaliteli ve hassas ölçülü üretimle makyajlanıp müşteriye sunulmasıdır.",Ekşi Sözlük
clever but slacker,29.09.2022 12:51,IKEA Genel,"""ladda"" marka şarjlı pilleri tam bir çöptür. bu başlık altındaki başka bir yazarın tavsiyesine uyarak aldım. apple touchpad ile kullanıyorum. duracell'in 2 ay dayandığı cihazda 15 gün dayanmıyor. resmen çöpe atılan para. almayın !",Ekşi Sözlük
